Experiment ID,Experiment type,Dataset,Data classes,MNIST_all_digits,Clients per cluster,Datapoints per client,Algorithm,MA vs GA,Total rounds,initial_model_parameters,first_round_client_to_cluster_assignment,Linear Delta,Model,Mix Mode,Exp Selector,Ablation_Param,K_is_unknown,Upper bound on K,Early stopping,Participation Rate
101,Clustering accuracy + loss over rounds,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,1000,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
102,Clustering accuracy + loss over rounds,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",10,1000,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
201,Clustering accuracy + loss over rounds,CIFAR10,10,,5,500,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
202,Clustering accuracy + loss over rounds,CIFAR10,10,,10,500,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
301,Clustering accuracy + loss over rounds,FMNIST,10,,5,1000,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
302,Clustering accuracy + loss over rounds,FMNIST,10,,10,1000,"CLoVE, IFCA",MA,100,different,evaluation_based,,AE,,,,,,,
800,Clustering accuracy + loss over rounds,LINEAR,5,,5,1000,CLoVE,MA,5,different,evaluation_based,1,linear_regression,,,,,,,
801,Clustering accuracy + loss over rounds,LINEAR,5,,5,1000,CLoVE,MA,5,different,evaluation_based,0.1,linear_regression,,,,,,,
802,Clustering accuracy + loss over rounds,LINEAR,5,,5,1000,CLoVE,MA,5,different,evaluation_based,0.01,linear_regression,,,,,,,
803,Clustering accuracy + loss over rounds,LINEAR,5,,5,1000,CLoVE,MA,5,different,evaluation_based,0.001,linear_regression,,,,,,,
804,Clustering accuracy + loss over rounds,LINEAR,5,,5,1000,CLoVE,MA,5,different,evaluation_based,0.0003,linear_regression,,,,,,,
901,Initialization experiments,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,5,same,evaluation_based,,AE,,,,,,,
902,Initialization experiments,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,5,same,random,,AE,,,,,,,
903,Initialization experiments,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,5,different,evaluation_based,,AE,,,,,,,
904,Initialization experiments,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,5,different,random,,AE,,,,,,,
1000,Clustering accuracy8,CIFAR10,10,,3,1000,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp111,,,,,
1004,Clustering accuracy8,CIFAR10,10,,3,1000,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp111,,,,,
1010,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,1000,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp111,,,,,
1014,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,1000,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp111,,,,,
1020,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,1000,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp111,,,,,
1024,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,1000,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp111,,,,,
1100,Clustering accuracy8,CIFAR10,10,,5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp202,,,,,
1104,Clustering accuracy8,CIFAR10,10,,5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp202,,,,,
1110,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp202,,,,,
1114,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp202,,,,,
1120,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp202,,,,,
1124,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp202,,,,,
1200,Clustering accuracy8,CIFAR10,10,,5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp301,,,,,
1204,Clustering accuracy8,CIFAR10,10,,5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp301,,,,,
1210,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",10,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp301,,,,,
1214,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",10,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp301,,,,,
1220,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",10,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp301,,,,,
1224,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",10,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp301,,,,,
1900,Clustering accuracy8,CIFAR10,10,,5,500,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp602,,,,,
1901,Clustering accuracy8,CIFAR10,10,,5,500,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp602,1,,,,
1902,Clustering accuracy8,CIFAR10,10,,5,500,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp602,2,,,,
1903,Clustering accuracy8,CIFAR10,10,,5,500,CLoVE,MA,100,different,random,,CNN,zipped_with_overlap,exp602,3,,,,
1300,Clustering accuracy8,CIFAR10,10,,3,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp201,,,,,
1304,Clustering accuracy8,CIFAR10,10,,3,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp201,,,,,
1310,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp201,,,,,
1314,Clustering accuracy8,MNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp201,,,,,
1320,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"CLoVE, IFCA",MA,100,different,random,,CNN,zipped_with_overlap,exp201,,,,,
1324,Clustering accuracy8,FMNIST,10,"[0,1,2,3,4,5,6,7,8,9]",5,500,"centralized, local, vanillaFL",MA,100,different,random,,CNN,zipped_with_overlap,exp201,,,,,
